"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3901","test","chromium","2026-08-03","failed","2026-08-03","","maidportal1.spec.js","",""
"","3140","My Second Test","chromium","2026-08-03","failed","2026-08-03","","day1.spec.js","",""
"","5000","File Upload Test","chromium","2026-08-03","passed","2026-08-03","","fileupload.spec.js","",""
"","7091","Showing Error Messages","chromium","2026-08-03","passed","2026-08-03","","day3.spec.js","",""
"","3099","My Third Test","chromium","2026-08-03","passed","2026-08-03","","day1.spec.js","",""
"","3161","handle auto suggestion","chromium","2026-08-03","passed","2026-08-03","","handleframes.spec.js","",""
"","1284","Login with test@gmail.com","chromium","2026-08-03","passed","2026-08-03","Read Data from JSON > Test with data: 1","readdatajson.spec.js","",""
"","9259","handle auto suggestion","chromium","2026-08-03","failed","2026-08-03","","handleautosugetion.spec.js","",""
"","2631","test","chromium","2026-08-03","passed","2026-08-03","","mousehover.spec.js","",""
"","3104","My First Test","chromium","2026-08-03","passed","2026-08-03","","day1.spec.js","",""
"","7839","Keyboard Event Test","chromium","2026-08-03","passed","2026-08-03","","keyboardevent.spec.js","",""
"","1143","Login with test3@gmail.com","chromium","2026-08-03","passed","2026-08-03","Read Data from JSON > Test with data: 1","readdatajson.spec.js","",""
"","2074","wait for load state","chromium","2026-08-03","failed","2026-08-03","","waitforLoadstate.spec.js","",""
"","6224","handle multiple tabs","chromium","2026-08-03","passed","2026-08-03","","handlemultipletab.spec.js","",""
"","5972","handle alert","chromium","2026-08-03","passed","2026-08-03","","handleAlert.spec.js","",""
"","6136","handle confirm","chromium","2026-08-03","passed","2026-08-03","","handleAlert.spec.js","",""
"","1745","has title","chromium","2026-08-03","passed","2026-08-03","","example.spec.js","",""
"","2526","Google Title Test","chromium","2026-08-03","passed","2026-08-03","","googletitle1.spec.js","",""
"","5969","handle prompt","chromium","2026-08-03","passed","2026-08-03","","handleAlert.spec.js","",""
"","3847","test","chromium","2026-08-03","failed","2026-08-03","","maidportal.spec.js","",""
"","18441","test","chromium","2026-08-03","passed","2026-08-03","","codegen.spec.js","",""
"","12861","login","chromium","2026-08-03","passed","2026-08-03","","day2.spec.js","",""
"","4640","get started link","chromium","2026-08-03","passed","2026-08-03","","example.spec.js","",""
"","11962","Dropdown Test","chromium","2026-08-03","passed","2026-08-03","","dropdown.spec.js","",""
"","1259","Login with test2@gmail.com","chromium","2026-08-03","passed","2026-08-03","Read Data from JSON > Test with data: 2","readdatajson.spec.js","",""
"","3085","My Fourth Test","chromium","2026-08-03","passed","2026-08-03","","day1.spec.js","",""
"","6133","Login Test","chromium","2026-08-03","passed","2026-08-03","","login.spec.js","",""
